FullGeneName,GeneID,SortIndex,Uniprot ID,GeneName,Length (bp),PZ,OrthologID_D,OrthologID_L2,Product,Mass (kD),Function,Mem true,Hyp true,DNA true,Secr true,Inc true,Protein Family,PDB ID,PDB,PDBImageURL,AlphaFold ID,AFImageURL,Version,Structural homology (Foldseek),Biological Process,Cellular Component,Molecular Function,Subcellular Location,Subunit Structure,LastEdited,EditedByName,Favorite
 TC0541,TC0541,530,Q9PKC5,,107,,,,Uncharacterized protein,12.4,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PKC5,,,,,membrane [GO:0016020],,,,,,
 TC0542,TC0542,531,Q9PKC4,,656,,CT270,CTL0522,Penicillin-binding protein,74.4,Cell envelope,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Q9PKC4,,,,,membrane [GO:0016020],penicillin binding [GO:0008658],,,,,
 TC0543,TC0543,532,Q9PKC3,,95,,CT271,CTL0523,Cell division protein FtsL,11.4,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PKC3,,,,,,,,,,,
rsmH TC0544,TC0544,533,Q9PKC2,rsmH,302,,CT272,CTL0524,Ribosomal RNA small subunit methyltransferase H (EC 2.1.1.199) (16S rRNA m(4)C1402 methyltransferase) (rRNA (cytosine-N(4)-)-methyltransferase RsmH),34.1,Cell envelope,FALSE,FALSE,FALSE,FALSE,FALSE,"Methyltransferase superfamily, RsmH family",,,,Q9PKC2,,,,rRNA base methylation [GO:0070475],cytoplasm [GO:0005737],rRNA (cytosine-N4-)-methyltransferase activity [GO:0071424],Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01007}.,,,,
 TC0545,TC0545,534,Q9PKC1,,186,,CT273,CTL0525,Uncharacterized protein TC_0545,21.1,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,Chlamydial CPn_0422/CT_273/TC_0545 family,,,,Q9PKC1,,,,,,,,,,,
 TC0546,TC0546,535,Q9PKC0,,139,,CT274,CTL0526,"Type III secretion chaperone, putative",15.6,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PKC0,,,,,,protein serine/threonine kinase activity [GO:0004674],,,,,
dnaA2 TC0547,TC0547,536,Q9PKB9,dnaA2,455,,CT275,CTL0527,Chromosomal replication initiator protein DnaA 2,51.4,Replication,FALSE,FALSE,TRUE,FALSE,FALSE,DnaA family,,,,Q9PKB9,,,,DNA replication initiation [GO:0006270]; regulation of DNA replication [GO:0006275],cytoplasm [GO:0005737],ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA replication origin binding [GO:0003688],Cytoplasm {ECO:0000250}.,,,,
 TC0548,TC0548,537,Q9PKB8,,195,,CT276,CTL0528,Polymer-forming cytoskeletal family protein,21.4,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PKB8,,,,,,,,,,,
 TC0549,TC0549,538,Q9PKB7,,236,,CT277,CTL0529,Uncharacterized protein,27.2,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PKB7,,,,,,,,,,,
nqrB TC0550,TC0550,539,Q9PKB6,nqrB,503,,CT278,CTL0530,Na(+)-translocating NADH-quinone reductase subunit B (Na(+)-NQR subunit B) (Na(+)-translocating NQR subunit B) (EC 7.2.1.1) (NQR complex subunit B) (NQR-1 subunit B),55.0,Energy metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,NqrB/RnfD family,,,,Q9PKB6,,,,respiratory electron transport chain [GO:0022904]; sodium ion transport [GO:0006814]; transmembrane transport [GO:0055085],plasma membrane [GO:0005886],"FMN binding [GO:0010181]; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]",Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_00426}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_00426}.,"Composed of six subunits; NqrA, NqrB, NqrC, NqrD, NqrE and NqrF. {ECO:0000255|HAMAP-Rule:MF_00426}.",,,
nqrC TC0551,TC0551,540,Q9PKB5,nqrC,318,,CT279,CTL0531,Na(+)-translocating NADH-quinone reductase subunit C (Na(+)-NQR subunit C) (Na(+)-translocating NQR subunit C) (EC 7.2.1.1) (NQR complex subunit C) (NQR-1 subunit C),34.8,Energy metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,NqrC family,,,,Q9PKB5,,,,sodium ion transport [GO:0006814],plasma membrane [GO:0005886],"FMN binding [GO:0010181]; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]",Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_00427}; Single-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_00427}.,"Composed of six subunits; NqrA, NqrB, NqrC, NqrD, NqrE and NqrF. {ECO:0000255|HAMAP-Rule:MF_00427}.",,,
nqrD TC0552,TC0552,541,Q9PKB4,nqrD,213,,CT280,CTL0532,Na(+)-translocating NADH-quinone reductase subunit D (Na(+)-NQR subunit D) (Na(+)-translocating NQR subunit D) (EC 7.2.1.1) (NQR complex subunit D) (NQR-1 subunit D),23.1,Energy metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,NqrDE/RnfAE family,,,,Q9PKB4,,,,sodium ion transport [GO:0006814],plasma membrane [GO:0005886],"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]",Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_00428}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_00428}.,"Composed of six subunits; NqrA, NqrB, NqrC, NqrD, NqrE and NqrF. {ECO:0000255|HAMAP-Rule:MF_00428}.",,,
nqrE TC0553,TC0553,542,Q9PKB3,nqrE,244,,CT281,CTL0533,Na(+)-translocating NADH-quinone reductase subunit E (Na(+)-NQR subunit E) (Na(+)-translocating NQR subunit E) (EC 7.2.1.1) (NQR complex subunit E) (NQR-1 subunit E),26.5,Energy metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,NqrDE/RnfAE family,,,,Q9PKB3,,,,respiratory electron transport chain [GO:0022904]; sodium ion transport [GO:0006814],Gram-negative-bacterium-type cell wall [GO:0009276]; plasma membrane [GO:0005886],"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]",Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_00429}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_00429}.,"Composed of six subunits; NqrA, NqrB, NqrC, NqrD, NqrE and NqrF. {ECO:0000255|HAMAP-Rule:MF_00429}.",,,
gcvH TC0554,TC0554,543,Q9PKB2,gcvH,117,,CT282,CTL0534,Glycine cleavage system H-like protein,13.1,Cell processes,FALSE,FALSE,FALSE,FALSE,FALSE,GcvH family,,,,Q9PKB2,,,,glycine decarboxylation via glycine cleavage system [GO:0019464],glycine cleavage complex [GO:0005960],,,,,,
 TC0556,TC0556,544,Q9PKB1,,690,,CT283,CTL0535,Inner membrane protein,80.4,Unknown,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PKB1,,,,,,,,,,,
 TC0557,TC0557,545,Q9PKB0,,474,,CT284,CTL0536,Phospholipase D family protein,54.2,Other,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Q9PKB0,,,,cardiolipin biosynthetic process [GO:0032049],,phosphatidyltransferase activity [GO:0030572],,,,,
 TC0558,TC0558,546,Q9PKA9,,239,,CT285,CTL0537,BPL/LPL catalytic domain-containing protein,26.7,Energy metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Q9PKA9,,,,protein modification process [GO:0036211],,,,,,,
clpC TC0559,TC0559,547,Q9PKA8,clpC,870,,CT286,CTL0538,Probable ATP-dependent Clp protease ATP-binding subunit,97.0,Translation,FALSE,FALSE,FALSE,FALSE,FALSE,"ClpA/ClpB family, ClpC subfamily",,,,Q9PKA8,,,,,,ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887],,,,,
mnmA TC0560,TC0560,548,Q9PKA7,mnmA,358,,CT287,CTL0539,tRNA-specific 2-thiouridylase MnmA (EC 2.8.1.13),40.0,Translation,FALSE,FALSE,FALSE,FALSE,FALSE,MnmA/TRMU family,,,,Q9PKA7,,,,tRNA modification [GO:0006400],cytoplasm [GO:0005737],ATP binding [GO:0005524]; sulfurtransferase activity [GO:0016783]; tRNA binding [GO:0000049],Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00144}.,,,,
 TC0561,TC0561,549,Q9PKA6,,558,,CT288,CTL0540,Uncharacterized protein TC_0561,62.5,Inclusion membrane protein,TRUE,FALSE,FALSE,TRUE,TRUE,Chlamydial CPn_0065/CT_288/TC_0561 family,,,,Q9PKA6,,,,,,,,,,,
 TC0562,TC0562,550,Q9PKA5,,384,,CT289,CTL0541,Uncharacterized protein,41.5,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PKA5,,,,,membrane [GO:0016020],,,,,,
 TC0563,TC0563,551,Q9PKA4,,223,,CT290,CTL0542,"PTS system, IIA component",25.7,Cell processes,FALSE,FALSE,FALSE,FALSE,FALSE,EUO family,,,,Q9PKA4,,,,,,,,,,,
 TC0564,TC0564,552,Q9PKA3,,165,,CT291,CTL0543,"PTS system, IIA component",18.2,Cell processes,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Q9PKA3,,,,,,,,,,,
dut TC0565,TC0565,553,Q9PKA2,dut,145,,CT292,CTL0544,Deoxyuridine 5'-triphosphate nucleotidohydrolase (dUTPase) (EC 3.6.1.23) (dUTP pyrophosphatase),15.3,Nucleotide metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,DUTPase family,,,,Q9PKA2,,,,dUMP biosynthetic process [GO:0006226]; dUTP catabolic process [GO:0046081],,dUTP diphosphatase activity [GO:0004170]; magnesium ion binding [GO:0000287],,,,,
accD TC0566,TC0566,554,Q9PKA1,accD,283,,CT293,CTL0545,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15),31.0,Lipid metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,AccD/PCCB family,,,,Q9PKA1,,,,fatty acid biosynthetic process [GO:0006633]; malonyl-CoA biosynthetic process [GO:2001295],acetyl-CoA carboxylase complex [GO:0009317],acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; carboxyl- or carbamoyltransferase activity [GO:0016743]; zinc ion binding [GO:0008270],"Cytoplasm {ECO:0000256|ARBA:ARBA00004496, ECO:0000256|HAMAP-Rule:MF_01395}.","Acetyl-CoA carboxylase is a heterohexamer composed of biotin carboxyl carrier protein (AccB), biotin carboxylase (AccC) and two subunits each of ACCase subunit alpha (AccA) and ACCase subunit beta (AccD). {ECO:0000256|HAMAP-Rule:MF_01395}.",,,
sodA TC0567,TC0567,555,Q9PKA0,sodA,205,,CT294,CTL0546,Superoxide dismutase [Mn] (EC 1.15.1.1),23.3,Cell processes,FALSE,FALSE,FALSE,FALSE,FALSE,Iron/manganese superoxide dismutase family,,,,Q9PKA0,,,,,,metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784],,Homodimer. {ECO:0000250}.,,,
 TC0568,TC0568,556,Q9PK99,,593,,CT295,CTL0547,"Phosphoglucomutase/phosphomannomutase, putative",67.1,Energy metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,Phosphohexose mutase family,,,,Q9PK99,,,,carbohydrate metabolic process [GO:0005975],,intramolecular phosphotransferase activity [GO:0016868]; magnesium ion binding [GO:0000287],,,,,
 TC0569,TC0569,557,Q9PK98,,157,,CT296,CTL0548,Uncharacterized protein,17.9,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PK98,,,,,,,,,,,
rnc TC0570,TC0570,558,Q9PK97,rnc,232,,CT297,CTL0549,Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III),25.7,Transcription,FALSE,FALSE,TRUE,FALSE,FALSE,Ribonuclease III family,,,,Q9PK97,,,,mRNA processing [GO:0006397]; rRNA processing [GO:0006364]; tRNA processing [GO:0008033],cytoplasm [GO:0005737],metal ion binding [GO:0046872]; ribonuclease III activity [GO:0004525]; rRNA binding [GO:0019843],Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00104}.,Homodimer. {ECO:0000255|HAMAP-Rule:MF_00104}.,,,
radA TC0571,TC0571,559,Q9PK96,radA,455,,CT298,CTL0550,DNA repair protein RadA (EC 3.6.4.-) (Branch migration protein RadA),50.0,Replication,FALSE,FALSE,TRUE,FALSE,FALSE,"RecA family, RadA subfamily",,,,Q9PK96,,,,proteolysis [GO:0006508]; recombinational repair [GO:0000725],,ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent DNA damage sensor activity [GO:0140664]; ATP-dependent peptidase activity [GO:0004176]; damaged DNA binding [GO:0003684]; metal ion binding [GO:0046872]; serine-type endopeptidase activity [GO:0004252],,,,,
hemC TC0572,TC0572,560,Q9PK95,hemC,242,,CT299,CTL0551,Probable porphobilinogen deaminase (PBG) (EC 2.5.1.61) (Hydroxymethylbilane synthase) (HMBS) (Pre-uroporphyrinogen synthase),27.3,Cofactor metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,HMBS family,,,,Q9PK95,,,,protoporphyrinogen IX biosynthetic process [GO:0006782],,hydroxymethylbilane synthase activity [GO:0004418],,,,,
 TC0573,TC0573,561,Q9PK94,,158,,,,Inclusion membrane protein,17.4,Unknown,TRUE,TRUE,FALSE,FALSE,TRUE,,,,,Q9PK94,,,,,membrane [GO:0016020],,,,,,
 TC0574,TC0574,562,Q9PK93,,127,,,,Uncharacterized protein,13.9,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PK93,,,,,membrane [GO:0016020],,,,,,
pknD TC0575,TC0575,563,Q9PK92,pknD,934,,CT301,CTL0553,Serine/threonine-protein kinase PknD (EC 2.7.11.1),107.5,Cell processes,FALSE,FALSE,FALSE,FALSE,FALSE,"Protein kinase superfamily, Ser/Thr protein kinase family",,,,Q9PK92,,,,phosphorylation [GO:0016310],,ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674],,,,,
valS TC0576,TC0576,564,Q9PK91,valS,939,,CT302,CTL0554,Valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS),107.1,Translation,FALSE,FALSE,FALSE,FALSE,FALSE,"Class-I aminoacyl-tRNA synthetase family, ValS type 1 subfamily",,,,Q9PK91,,,,valyl-tRNA aminoacylation [GO:0006438],cytoplasm [GO:0005737],aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; valine-tRNA ligase activity [GO:0004832],Cytoplasm {ECO:0000255|HAMAP-Rule:MF_02004}.,Monomer. {ECO:0000255|HAMAP-Rule:MF_02004}.,,,
 TC0577,TC0577,565,Q9PK90,,178,,CT303,CTL0555,Lipoprotein,20.4,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PK90,,,,,,,,,,,
atpK TC0578,TC0578,566,Q9PK89,atpK,141,,CT304,CTL0556,"ATP synthase, subunit K",14.3,Energy metabolism,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,Q9PK89,,,,,"proton-transporting two-sector ATPase complex, proton-transporting domain [GO:0033177]",proton transmembrane transporter activity [GO:0015078],Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.,,,,
atpI TC0579,TC0579,567,Q9PK88,atpI,649,,CT305,CTL0557,V-type ATP synthase subunit I (V-ATPase subunit I),73.4,Energy metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,V-ATPase 116 kDa subunit family,,,,Q9PK88,,,,,"plasma membrane [GO:0005886]; proton-transporting V-type ATPase, V0 domain [GO:0033179]","proton-transporting ATPase activity, rotational mechanism [GO:0046961]",Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.,,,,
atpD TC0580,TC0580,568,Q9PK87,atpD,203,,CT306,CTL0558,V-type ATP synthase subunit D (V-ATPase subunit D),23.2,Energy metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,V-ATPase D subunit family,,,,Q9PK87,,,,proton motive force-driven plasma membrane ATP synthesis [GO:0042777],,"ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]",,,,,
atpB TC0581,TC0581,569,Q9PK86,atpB,438,,CT307,CTL0559,V-type ATP synthase beta chain (V-ATPase subunit B),48.6,Energy metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,ATPase alpha/beta chains family,,,,Q9PK86,,,,proton motive force-driven plasma membrane ATP synthesis [GO:0042777],,"ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]",,,,,
atpA TC0582,TC0582,570,Q9PK85,atpA,591,,CT308,CTL0560,V-type ATP synthase alpha chain (EC 7.1.2.2) (V-ATPase subunit A),65.3,Energy metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,ATPase alpha/beta chains family,,,,Q9PK85,,,,proton motive force-driven plasma membrane ATP synthesis [GO:0042777],,"ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]",,,,,
 TC0583,TC0583,571,Q9PK84,,266,,CT309,CTL0561,Uncharacterized protein TC_0583,31.9,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,Chlamydial CPn_0087/CT3_09/TC_0583 family,,,,Q9PK84,,,,,,,,,,,
atpE TC0584,TC0584,572,Q9PK83,atpE,208,,CT310,CTL0562,V-type ATP synthase subunit E (V-ATPase subunit E),22.9,Energy metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,V-ATPase E subunit family,,,,Q9PK83,,,,proton motive force-driven plasma membrane ATP synthesis [GO:0042777],"proton-transporting two-sector ATPase complex, catalytic domain [GO:0033178]","ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]",,,,,
 TC0585,TC0585,573,Q9PK82,,237,,CT311,CTL0563,Lipoprotein,26.4,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PK82,,,,,,,,,,,
 TC0586,TC0586,574,Q9PK81,,128,,CT312,CTL0564,Ferredoxin,14.3,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PK81,,,,,,,,,,,
tal TC0587,TC0587,575,Q9PK80,tal,327,,CT313,CTL0565,Transaldolase (EC 2.2.1.2),36.3,Energy metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,"Transaldolase family, Type 1 subfamily",,,,Q9PK80,,,,carbohydrate metabolic process [GO:0005975]; pentose-phosphate shunt [GO:0006098],cytoplasm [GO:0005737],transaldolase activity [GO:0004801],Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00492}.,,,,
rpoC TC0588,TC0588,576,Q9PK79,rpoC,1396,,CT314,CTL0566,DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta'),154.9,Nucleotide metabolism,FALSE,FALSE,TRUE,FALSE,FALSE,RNA polymerase beta' chain family,,,,Q9PK79,,,,DNA-templated transcription [GO:0006351],DNA-directed RNA polymerase complex [GO:0000428],DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; magnesium ion binding [GO:0000287]; zinc ion binding [GO:0008270],,"The RNAP catalytic core consists of 2 alpha, 1 beta, 1 beta' and 1 omega subunit. When a sigma factor is associated with the core the holoenzyme is formed, which can initiate transcription. {ECO:0000255|HAMAP-Rule:MF_01322}.",,,
rpoB TC0589,TC0589,577,P56869,rpoB,1252,,CT315,CTL0567,DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta),140.0,Nucleotide metabolism,FALSE,FALSE,TRUE,FALSE,FALSE,RNA polymerase beta chain family,,,,P56869,,,,DNA-templated transcription [GO:0006351],DNA-directed RNA polymerase complex [GO:0000428],DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; ribonucleoside binding [GO:0032549],,"The RNAP catalytic core consists of 2 alpha, 1 beta, 1 beta' and 1 omega subunit. When a sigma factor is associated with the core the holoenzyme is formed, which can initiate transcription. {ECO:0000255|HAMAP-Rule:MF_01321}.",,,
rplL TC0590,TC0590,578,P38001,rplL,130,,CT316,CTL0568,Large ribosomal subunit protein bL12 (50S ribosomal protein L7/L12),13.6,Translation,FALSE,FALSE,FALSE,FALSE,FALSE,Bacterial ribosomal protein bL12 family,,,,P38001,,,,translation [GO:0006412],ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840],structural constituent of ribosome [GO:0003735],,"Homodimer. Part of the ribosomal stalk of the 50S ribosomal subunit. Forms a multimeric L10(L12)X complex, where L10 forms an elongated spine to which 2 to 4 L12 dimers bind in a sequential fashion. Binds GTP-bound translation factors. {ECO:0000255|HAMAP-Rule:MF_00368}.",,,
rplJ TC0591,TC0591,579,Q9PK78,rplJ,172,,CT317,CTL0569,Large ribosomal subunit protein uL10 (50S ribosomal protein L10),18.8,Translation,FALSE,FALSE,FALSE,FALSE,FALSE,Universal ribosomal protein uL10 family,,,,Q9PK78,,,,translation [GO:0006412],large ribosomal subunit [GO:0015934],large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735],,Part of the ribosomal stalk of the 50S ribosomal subunit. The N-terminus interacts with L11 and the large rRNA to form the base of the stalk. The C-terminus forms an elongated spine to which L12 dimers bind in a sequential fashion forming a multimeric L10(L12)X complex (By similarity). {ECO:0000250}.,,,
rplA TC0592,TC0592,580,Q9PK77,rplA,232,,CT318,CTL0570,Large ribosomal subunit protein uL1 (50S ribosomal protein L1),24.8,Translation,FALSE,FALSE,FALSE,FALSE,FALSE,Universal ribosomal protein uL1 family,,,,Q9PK77,,,,regulation of translation [GO:0006417]; translation [GO:0006412],large ribosomal subunit [GO:0015934],rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049],,Part of the 50S ribosomal subunit. {ECO:0000255|HAMAP-Rule:MF_01318}.,,,
rplK TC0593,TC0593,581,Q9PK76,rplK,141,,CT319,CTL0571,Large ribosomal subunit protein uL11 (50S ribosomal protein L11),15.0,Translation,FALSE,FALSE,FALSE,FALSE,FALSE,Universal ribosomal protein uL11 family,,,,Q9PK76,,,,translation [GO:0006412],ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840],large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735],,Part of the ribosomal stalk of the 50S ribosomal subunit. Interacts with L10 and the large rRNA to form the base of the stalk. L10 forms an elongated spine to which L12 dimers bind in a sequential fashion forming a multimeric L10(L12)X complex. {ECO:0000255|HAMAP-Rule:MF_00736}.,,,
nusG TC0594,TC0594,582,Q9PK75,nusG,182,,CT320,CTL0572,Transcription termination/antitermination protein NusG,20.7,Transcription,FALSE,FALSE,TRUE,FALSE,FALSE,NusG family,,,,Q9PK75,,,,DNA-templated transcription termination [GO:0006353]; regulation of DNA-templated transcription elongation [GO:0032784]; transcription antitermination [GO:0031564]; transcription elongation-coupled chromatin remodeling [GO:0140673],,,,,,,
secE TC0595,TC0595,583,Q9PK74,secE,82,,CT321,CTL0573,Protein translocase subunit SecE,9.5,Translation,FALSE,FALSE,FALSE,FALSE,FALSE,SecE/SEC61-gamma family,,,,Q9PK74,,,,intracellular protein transmembrane transport [GO:0065002]; protein secretion [GO:0009306]; protein targeting [GO:0006605]; protein transport by the Sec complex [GO:0043952],plasma membrane [GO:0005886],protein transmembrane transporter activity [GO:0008320],Cell inner membrane {ECO:0000256|HAMAP-Rule:MF_00422}; Single-pass membrane protein {ECO:0000256|HAMAP-Rule:MF_00422}.,"Component of the Sec protein translocase complex. Heterotrimer consisting of SecY, SecE and SecG subunits. The heterotrimers can form oligomers, although 1 heterotrimer is thought to be able to translocate proteins. Interacts with the ribosome. Interacts with SecDF, and other proteins may be involved. Interacts with SecA. {ECO:0000256|HAMAP-Rule:MF_00422}.",,,
tuf TC0596,TC0596,584,Q9PK73,tuf,394,,CT322,CTL0574,Elongation factor Tu (EF-Tu),43.3,Translation,FALSE,FALSE,FALSE,FALSE,FALSE,"TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, EF-Tu/EF-1A subfamily",,,,Q9PK73,,,,,cytoplasm [GO:0005737],GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746],Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00118}.,Monomer. {ECO:0000255|HAMAP-Rule:MF_00118}.,,,
infA TC0597,TC0597,585,P65107,infA,73,,CT323,CTL0575,Translation initiation factor IF-1,8.4,Translation,FALSE,FALSE,FALSE,FALSE,FALSE,IF-1 family,,,,P65107,,,,,cytoplasm [GO:0005737],ribosome binding [GO:0043022]; rRNA binding [GO:0019843]; translation initiation factor activity [GO:0003743],Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00075}.,"Component of the 30S ribosomal translation pre-initiation complex which assembles on the 30S ribosome in the order IF-2 and IF-3, IF-1 and N-formylmethionyl-tRNA(fMet); mRNA recruitment can occur at any time during PIC assembly. {ECO:0000255|HAMAP-Rule:MF_00075}.",,,
 TC0598,TC0598,586,Q9PK72,,308,,CT324,CTL0576,Transmembrane protein,34.2,Inclusion membrane protein,TRUE,FALSE,FALSE,TRUE,TRUE,,,,,Q9PK72,,,,,membrane [GO:0016020],,,,,,
 TC0599,TC0599,587,Q9PK71,,150,,CT325,CTL0577,Fe-S metabolism associated domain-containing protein,17.2,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,SufE family,,,,Q9PK71,,,,,,,,,,,
 TC0600,TC0600,588,Q9PK70,,648,,,,Transmembrane protein,70.9,Unknown,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PK70,,,,,membrane [GO:0016020],,,,,,
 TC0601,TC0601,589,Q9PK69,,60,,,CTL0580,Lipoprotein,6.7,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PK69,,,,,membrane [GO:0016020],,,,,,
 TC0602,TC0602,590,Q9PK68,,1004,,,,"Helicase, putative",116.9,Unknown,FALSE,TRUE,TRUE,FALSE,FALSE,,,,,Q9PK68,,,,,,ATP binding [GO:0005524]; DNA binding [GO:0003677]; helicase activity [GO:0004386]; hydrolase activity [GO:0016787],,,,,
trpF TC0603,TC0603,591,Q9PK67,trpF,208,,CT327,CTL0581,N-(5'-phosphoribosyl)anthranilate isomerase (PRAI) (EC 5.3.1.24),22.2,Amino acid metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,TrpF family,,,,Q9PK67,,,,tryptophan biosynthetic process [GO:0000162],,phosphoribosylanthranilate isomerase activity [GO:0004640],,,,,
tpiA TC0604,TC0604,592,Q9PK66,tpiA,270,,CT328,CTL0582,Triosephosphate isomerase (TIM) (TPI) (EC 5.3.1.1) (Triose-phosphate isomerase),29.4,Energy metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,Triosephosphate isomerase family,,,,Q9PK66,,,,gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096],cytoplasm [GO:0005737],triose-phosphate isomerase activity [GO:0004807],Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00147}.,Homodimer. {ECO:0000255|HAMAP-Rule:MF_00147}.,,,
